1099 Pro,The software willl process forms 1099- MISC and 1099 - NEC from Quorum data.
AdminView,AdminView is used to administer appFrame 4 application configurations relating to WellView and SiteView
ADP Workforce Now,ADP Workforce Now is a payroll and benefits software (cloud service).   
APEGA Digital Authentication/Signature,"Notarius is the only approved Association of Professional Engineers and Geoscientists of Alberta (APEGA) digital signature.  This signature is held by members of this organization and confirms the civic identity and professional designation of its members at the time of signing.  It serves as proof that the signer is in good standing and has the right to practise in the province of Alberta, in addition to ensuring the integrity of the signed documents and preventing their flasification.

Deployment Method - Local via Configuration Manager
Software Center - ConsignO Desktop 3.8.2 (user can install on any On Prem Windows 10 Device)
Pre-Requisite Software - Entrust Entelligence Security Provider 10.0 for Windows"
ArcGIS,"LicenseMonitor Link - Can:  http://cal-lic-p20:5555/cgi/ftlm.cgi?page=features&showfeature=all&filterfeatures_tag=AB_ARCGIS
LicenseMonitor Link - Den : http://cal-lic-p20:5555/cgi/ftlm.cgi?page=features&showfeature=all&filterfeatures_tag=DEN_ARCGIS

ArcGIS is full-featured GIS software for visualizing, analyzing, creating, and managing data with a geographic component. 
(ArcMap is one application that is included with ArcGIS)
(ArcView is just the license level)"
ArcGIS Pro,"LicenseMonitor Link :  https://enerplus.maps.arcgis.com/home/organization.html?#licenses

ArcGIS Pro is full-featured GIS software for visualizing, analyzing, creating, and managing data with a geographic component. 
(ArcMap is one application that is included with ArcGIS)
(ArcView is just the license level)"
Ariel Performance - Ariel Compressor Software,"Ariel Performance Software is an intuitive, Windows based application designed for the selection of new gas compressor configurations or the evaluation of existing configurations.
Balanced opposed reciprocating and rotary screw compressor performance calculations are available.

This application is installed on the I: drive: \\cfs1\ntapps\Ariel\"
Aries,"Economic Evaluation software
License server : den-lic-p05
project server: den-sql-p02
"
Avocet,"Avocet 2017 is optimized for data entry, analysis and corporate-wide sharing of information. You can enter data into Avocet using an intuitive Windows interface or transfer data from SCADA systems, handhelds or other automated systems. Once validated, information can be simply transferred from Avocet to accounting and other third-party systems. The analysis can be easily configured and distributed to your corporate decision-makers.

Calculating production
Avocet models production flows for a variety of fluid types (oil, gas, water and condensate). Production can be calculated immediately on-screen combining meter readings, tank inventory and tickets with specified temperature and pressure corrections. Additionally, you can run daily allocations for each fluid type with volumes and factors displayed immediately to alert you to potential problems.
 
Tracking events
Avocet allows you to track site maintenance and operational history so you can report and identify recurring problems and schedule routine maintenance to minimize downtime. With Avocet, you can create queries that find down-time problems, production variances or pressure anomalies. You can also focus on problem wells using the filtering and grouping features, and share the information via a graph or report.
 
Viewing your information
User-defined reports, graphs and filters describe identified problems and trends that help you anticipate downtime events and prevent costly problems. You can track daily operational data and circulate the organized information through-out the company.
 
Reports can be printed or exported to Microsoft Excel or HTML, including rolled-up reports that summarize data for your entire organization, field or other areas of focus. With Avocet, you can schedule reports and graphs to run automatically and route them to a printer, e-mail recipient or a network location."
Avocet Import/Export (fieldx),"Tool used to load data into Avocet Capture, part of the product"
Confluence,"Confluence provides issue tracking and project tracking for software development teams to improve code quality and the speed of development.

https://enerplus.atlassian.net/wiki/"
Contractor DataBase (DB),"Database for maintaining contractor information for insurance compliancy. Only Contractors of type 'SUPPLIER', 'PARTNER', 'CONTRACT' from Canadian and US Financial systems are loaded into Contractor DB."
DBeaver Community ,"Multi-platform database tool for developers, database administrators, analysts and all people who need to work with databases."
enerDocs,enerDocs ECM solution **PLEASE Note special Approval requirements**
